N;6504291
N;6504277
N;6504260
N;6543122
N;7605799
N;9764234
N;8327584
N;8322794
N;6786499
N;6946947
N;6946961
N;6946909
N;6946916
N;6947548
N;6947555
N;6947562
N;6947579
N;6947593
N;6947616
N;6947586
N;6632796
N;7047537
N;7047544
N;7223634
N;6632819
N;6727805
N;6651872
N;6984741
N;6724194
N;6724187
N;6922781
N;6922798
N;7041955
N;7041962
N;6987384
N;6987391
N;6990766
N;6990759
N;6990735
N;6974902
N;7018087
N;7023449
N;6857557
N;6857724
N;7053101
N;6928516
N;6971857
N;6971864
N;6680698
N;6680704
N;6971871
N;6971888
N;6680445
N;6680452
N;6986615
N;6986622
N;6942796
N;6646168
N;6646175
N;6646182
N;6646199
N;6545249
N;8144679
N;8144754
N;7694977
N;8515769
N;8516421
N;9930066
N;9108854
N;6562376
N;6562383
N;6546987
N;6547014
N;6547021
N;6560129
N;6991305
N;6615973
N;6615980
N;6615997
N;7674672
N;6799246
N;7052913
N;6675915
N;6676011
N;6650646
N;6930113
N;7058137
N;7058120
N;7058014
N;7058007
N;7058021
N;7058038
N;6983614
N;6983621
N;6983874
N;6983881
N;6957646
N;7009771
N;6522035
N;6610565
N;6610541
N;6810354
N;6810385
N;6810392
N;6737934
N;6738054
N;6738078
N;6868959
N;6868973
N;6985670
N;6558713
N;6558720
N;7025818
N;7410584
N;6561881
N;6652923
N;6652930
N;6652909
N;6652916
N;6616642
N;6616659
N;6616673
N;6708194
N;6614402
N;6614419
N;6644966
N;6967010
N;6967027
N;8499359
N;8500819
N;8645879
N;8646784
N;6812914
N;7042501
N;6819517
N;6819524
N;7019152
N;7069393
N;7019169
N;7069409
N;7019183
N;7069416
N;7101505
N;7101512
N;7078357
N;7078364
N;7107897
N;7097969
N;7047551
N;7141761
N;7154884
N;7154891
N;7028482
N;7028499
N;7028505
N;7028512
N;7049371
N;7049388
N;7023951
N;7023968
N;7204459
N;7200079
N;7244387
N;7223191
